"","text","score","klasifikasi"
"533","yuta from home and work it",1,"Positif"
"536","work it from home pls",1,"Positif"
"537","bro i swear my plants do this if i forget to say hi to them when i come home from work",1,"Positif"
"539","there is nothing more attractive than your man coming home from work dirty in boots you cannot change my mind either   ",1,"Positif"
"540","work from home workers on full pay doing home improvements whilst those that lost their jobs furloughed ",1,"Positif"
"541","just occurred to me working from home means no snow days off from work    ",1,"Positif"
"542","yuta work it sungchan and from home please",1,"Positif"
"543","work it johnny from home yuta doyoung group",1,"Positif"
"544","getting home from work like",2,"Positif"
"545","i ve learnt the hard way not to remotely update the smart home server from work",1,"Positif"
"547","school here s your homework me ugh at least i won t have homework when i m out  boss here s your laptop to work ",1,"Positif"
"549","supreme court seeks biden doj views on work from home taxes",2,"Positif"
"552","interesting ruling from unfair dismissal compensation for worker not allowed to work from home during pandemic  ",2,"Positif"
"553","we did indeed i started early enough that i had a few months working on it like normal but many ",2,"Positif"
"554","super excited to go home from work and not have running water    truly cannot wait to move",3,"Positif"
"555","i just got home from work and we are up i love that great to have you back bob   ",3,"Positif"
"556","eh i ve just come home from work must ve got hacked  ",1,"Positif"
"558","an hour get home from work   ",1,"Positif"
"559","my laptop fried last night when i got off to work and my fil came home from work today with a brand new one for me ",1,"Positif"
"560","even with love it hasn t been easy trying to coach teach one nd grader has been so difficult fo ",1,"Positif"
"562","storming outside new mattress half day work working from home wtf we do to deserve this",1,"Positif"
"564","there is nothing more attractive than your man coming home from work dirty in boots you cannot change my mind eith ",1,"Positif"
"565","it s really scary and we re super lucky my husband and i can and do work from home and both girl ",2,"Positif"
"567","to some degree remote work looks to be a part of future   survey of gt c level executives amp senior public ",1,"Positif"
"568","if your supervisor won t leave you alone during this new work from home scheme tell their supervisor because they ",2,"Positif"
"569","i want everyone to get vaccinated i work from home i ll wait until the end but lightfoot implied teachers wer ",1,"Positif"
"570","job of the week   scheduling administrator and customer service melbourne   flexible working from home arrangeme ",1,"Positif"
"571","i m lucky bc i love being alone amp i ve been able to work from home but the st mos of this school yr ",3,"Positif"
"572","oh i ll purposefully bring them to work when i m not working from home anymore i did not intend to bring h ",1,"Positif"
"573","got home from work like an hour ago haven t eaten cause well i m bad about eating  but time to clean and feed som ",3,"Positif"
"574","matt treacy writes for gript  matt doesn t like irish brazilians  they work in meat plants  who don t have the cash to ",2,"Positif"
"576","it s v v hard to work from home when you have no room to work",1,"Positif"
"580","i m ignoring the work emails that were only sent after pm they are not emergencies and one needs to draw som ",1,"Positif"
"581","please be kind to others who must leave their homes to travel to and from work stay home stay safe save lives",2,"Positif"
"582","i leave from work to find peace at home jokes on me today  ",2,"Positif"
"583","afternoon work from home drama king is napping on larry s blanket in the living room i closed my office door to let the old ",1,"Positif"
"585","why do the majority of people who work from home want to move here",1,"Positif"
"589","freelance data entry job online work from home",1,"Positif"
"591","on my walk home from work this evening nice to see some enjoying a quiet pint   ",4,"Positif"
"592","i need mia and ftc to somehow legislate higher mb s to assist those who will be forced to work from home",1,"Positif"
"594","i love time to decompress after work in the car listening to music it lets me switch from work mode to home mode",3,"Positif"
"595","work from home has been extended to july th",1,"Positif"
"596","just got home from work feels like my arms are about to fall off other than that am good     one up ",2,"Positif"
"600","i really wish i could find a work from home job i really just don t want to leave my house everything makes me an ",1,"Positif"
"601","got home from work early today so we are going live at opening top wl rewards huge team update and some h ",2,"Positif"
"602","great thread suspect hr will actually increase jobs because people who work two hr jobs w ",1,"Positif"
"603","now that i m home from work i can finally catch up on all the tweets videos and memories             ",1,"Positif"
"604","  i must find a way to work from home effectively or some times",2,"Positif"
"605","whoever is putting the ch potle ads for my timeline you win fine i ll get it on my way home from work",3,"Positif"
"608","year are celebrating children s learning with displays of work from home and in school   ",1,"Positif"
"610","work from home   build in public",1,"Positif"
"612","i should be off the casamigos w my babies on my way home from work tho     ",1,"Positif"
"613","okay so if i get sent home from work because i m not wearing shoes i m blaming you",1,"Positif"
"615","been kind of productive since i canme home from work it d be a shame if i were to get the itis during this process",1,"Positif"
"616","odorous battlefield moghur turd diarrhea you a bottle great wall fart horse manure hemorrhoids munanimous horse e ",1,"Positif"
"617","it only took me nine months but i think i got this work school from home under control now  ",1,"Positif"
"618","i ve been home from work for less than hour and have already taken the recycling out showered put in a load of la ",1,"Positif"
"620","everybody wanna be slim thick but don t nobody wanna put in the work i have virtual training in person training mea ",1,"Positif"
"621","damnit i just got home from work                                       ",1,"Positif"
"622","no better feeling than getting home from a long day of work amp ripping a good shotgun",3,"Positif"
"623","yayyy i m home from work now           ",1,"Positif"
"625","i ll get you a quote tomorrow after noon the post office will be closed by the time i get home from work tonight",1,"Positif"
"626","lenice been home from work for hours before she said she left the stuff at work chile i m just so confused the girl is retarted",1,"Positif"
"627","i just learned today that double masking was a thing and that you shouldn t wear gaiters also that for good reason ",1,"Positif"
"628","   s work it  postcard book k k luggage sticker photocard set k k uniform acrylic charm pc set k  ",2,"Positif"
"629","i luv the u s postal service i ve been home from work the past weeks twice my job has sent me paperwork i need ",1,"Positif"
"631","me who can work from home",1,"Positif"
"632","starting from july ish last year i made it a habit to work out at home gyms have been closed it just so h ",1,"Positif"
"634","teacher under review a miami dade public schools teacher was sent home from work this week apparently because of her po ",1,"Positif"
"636","new work from home achievement my cat started meowing so much on a call that it triggered my source s cat who also started ",2,"Positif"
"638","her parents work from home too so that really matters",1,"Positif"
"639","i m hungry and can t eat until i get home from work in like hours   ",2,"Positif"
"641","i can t believe i wanted to come home from work and watch anime   who am i this isn t me",1,"Positif"
"642","this season was electric on tuesday s made work from home worth it",2,"Positif"
"643","there s still time to register for our next  return to work by volunteering from home from covid and beyond ",1,"Positif"
"644","what a relief si dang gets to remain at home with us but the fight is far from over as si and many immigrants amp refugees sti ",1,"Positif"
"645","can i still take a snow day if i work from home",1,"Positif"
"647","everyone s favorite daddy is home from work lt",2,"Positif"
"648","interesting irish equivalent of an employment tribunal finds a worker was constructively dismissed because she wasn t allowed ",1,"Positif"
"649","well home from work first day back full day went pretty well am tired amp sore still so gonna relax tonight was re ",2,"Positif"
"651","with the nashville economy building up again and more companies coming this way and more work from home jobs i can ",1,"Positif"
"652","so wait i can work from home cause       ",1,"Positif"
"653","work from home should  continue  she said   it never start out here aunty",1,"Positif"
"654","work from home jobs online data entry jobs freelance data entry jobs online jobs part time jobs",1,"Positif"
"655","inches and still going   i m heading out to check roads for carus s drive home from work and go to the barn ",1,"Positif"
"656","retweet for people getting home from work",1,"Positif"
"660","i can t wait for the days when i get to come home from work an see how excited my kids are when i walk through the door fut ",2,"Positif"
"662","lately i have been making dinner and then i hear my sister get home from work  but she sits in her car in the yard f ",1,"Positif"
"663","oh god i only work like ish and i feel like i spend my whole life at work    but also i feel l ",4,"Positif"
"664","how many are attending virtually doesn t that count pretty sure the order in on is work from home if you c ",2,"Positif"
"665","those showers after you get home from work hit different",1,"Positif"
"666"," how are we going to get it all in that s what she said   this just made my day driving home from work",1,"Positif"
"668","i can t work from home tho so it s work as always for me and my asthma   ",2,"Positif"
"669","study bothell ranks as best city in washington to work from home",2,"Positif"
"670","nah i love oh every time my roommate comes home from work he gets supper excited and runs to the door to hug her      ",4,"Positif"
"671","have a ready backup home internet plan for a seamless work or learn from home set up  details at ",3,"Positif"
"672","from studio to three bedroom floor plans at lake meadows you ll be sure to find the perfect apartment to meet you ",1,"Positif"
"673","every day i wonder why all retail service workers are not on the top of the list for vaccinations so many i know that g ",2,"Positif"
"674","life is worth it for when i get home from work and go to bed and my two cats sleep next to me there s nothing quite like it",3,"Positif"
"676","lately i have been making dinner and then i hear my sister get home from work  but she sits in her car in the yard ",1,"Positif"
"677","having my dog next to me while i work from home gt gt gt gt gt gt gt gt gt gt        ",1,"Positif"
"678","i come home from work like  i should eat something  but like eat what and like i dont feel like cooking   ",5,"Positif"
"679","yesterday my bf and i were pretty hung over i had to work from home but he had the day off and this man watched b ",1,"Positif"
"680","my makestar albums are coming today yay but i wont be home from work for another hrs     ",2,"Positif"
"681","my company said you work from home anyway let s get you a heavier one",1,"Positif"
"682","tough choice but think the grohe red wins it    the perfect work from home accessory move over kettle",4,"Positif"
"683","got the work from home job and im going to be able to go to school and also move and just keep creating i fuckin lo ",1,"Positif"
"684","the progressive work from home commercials are so funny lol",1,"Positif"
"686","yessssss taste i ve been playing it when i m home from work too   ",1,"Positif"
"687","as far as a i ll always prefer working from home you can work on other stuff get shit down around the house an ",1,"Positif"
"688","thanks i m home from work now   ",1,"Positif"
"689","still another reason to work from home",1,"Positif"
"691","within minutes of getting home from work i do one of two things change into my work out clothes and go for a  ",2,"Positif"
"694","teacher under review a miami dade public schools teacher was sent home from work this week apparently because of ",1,"Positif"
"695","thousands to work from home permanently for top turkish conglomerate",2,"Positif"
"697","so tempted to do this in my next working from home zoom staff meeting later on this week hilarious serio ",1,"Positif"
"698","just got home from work and i m burned out like a mofo i m about to knock out despite having like shots of espresso throughout the day",1,"Positif"
"699","i need another work from home job  ",1,"Positif"
"700","that s why since i work from home i quit wearing mine",1,"Positif"
"701","be entered to win a free family meal simply by telling us in the comments below what it is that you love about work ",4,"Positif"
"703","and now we mostly work from home",1,"Positif"
"704","my roommates be sleep when i come home from work during the week i need somebody excited that i m home so this doggy is what i need     ",2,"Positif"
"705","turns out i m home from work and my boy from the lease is here and we re straight up hanging",1,"Positif"
"706","does anyone else call their mom on the way home from work school every day no just me",1,"Positif"
"708","i love my sister and nephew but i hate when she comes home from work",1,"Positif"
"709","bailey and i got to spend the whole day together while i worked from home we even surprised mama with a lunch date ",1,"Positif"
"710","i am lighting a candle as soon as i get home from work but praying for you your family and your father       ",1,"Positif"
"711","my team actually works remotely i have skin in the game for work from home nationalism",2,"Positif"
"714","i know someone who works from home but occasionally has to go to he ",1,"Positif"
"715","crying during the work day but at least i work from home",2,"Positif"
"716","check this utilising just simply this approach i was fortunate to get out of each of our full time job and work fr ",2,"Positif"
"718","came home from work to this      dude he knows he got me a penguin my heart can t handle it",1,"Positif"
"720","my doggo brings me his favorite toy when i get home from work amp it s my favorite part of my day      ",3,"Positif"
"721","well just delivered my package i won t be home from work for another seven hours any wagers as to whethe ",3,"Positif"
"722","when you used to try sleep before your mum gets home from work cause school told her you was acting up",1,"Positif"
"723","anybody else run to their room as soon as their dad get home from work or jus me",1,"Positif"
"725","my parents can t work from home and what do you mean same size",1,"Positif"
"727","reliably and securely connect your users to business critical applications   even if they re working from home wat ",1,"Positif"
"728","not me crying on my way home from work today lol",1,"Positif"
"730","just got home from work and took all my make up off right away now i feel pretty lol",3,"Positif"
"731","i d really like to come home from work to a downloaded game",2,"Positif"
"732","lmao so they feel is just so people can work from home",1,"Positif"
"734","i was home recovering from our holiday work party     ",1,"Positif"
"736","free from the shackles of work academia time to go home and do more academia class",2,"Positif"
"737","how to apply for amazon work from home jobs",1,"Positif"
"740","as we approach a year of lockdown here is how i have managed to successfully work from home for years    never w ",2,"Positif"
"743","really enjoyed that session with the academy well done lads great camera work from   plyome ",4,"Positif"
"744","the way someone ran off the road in front of me on my way home from work self fulfilling prophecy teas",1,"Positif"
"745","i can t work from home        my work is at anfield        but theres no body allowed in    i can t to go back to work at anfield",3,"Positif"
"746","work from home and earn daily weekly amp monthly make more than weekly from home no hidde ",1,"Positif"
"747","this sure is the long way home from work",1,"Positif"
"748","starting from july ish last year i made it a habit to work out at home gyms have been closed it just s ",1,"Positif"
"749","i watched the video on the train back home from work and yeah i was a bit like   is that it    ",2,"Positif"
"750","check this using simply just this process we were happy to get out of each of our permenant job and simply work fr ",2,"Positif"
"751","today i learned that i can listen to the glee cover of all that jazz exactly times on repeat on my walk home from work",2,"Positif"
"752","and companies need to let people who can work from home work from home",2,"Positif"
"753","man being in a healthy loving relationship is wild like i m excited for my man to get home from work to tell him ",4,"Positif"
"755","equipping employees to work from home has enabled organizations across the country to maintain operations througho ",1,"Positif"
"756","years of eating pret for lunch now due to covid i can work from home and never have to walk into on ",1,"Positif"
"758","well guys i forgot there was maintenance tonight and by the time i get home from work i would only be able to do li ",2,"Positif"
"759","i hope tomorrow we have an office worker who has decided to work from home in their second home in the south of spain ",1,"Positif"
"764","work from home    ",1,"Positif"
"765","this is being pushed back to est because aster needs time to get home from work",1,"Positif"
"766","seems most people arguing masks work pro lockdowns closed schools are elite professionals who have been happily wor ",3,"Positif"
"767","yes not zoom but the platform we use for work x and no i haven t found a good solution fro ",2,"Positif"
"768","when you re working from home it can be tough to find purpose in your role   try these tips to gain meaning from ",2,"Positif"
"769","im omw home from work yall better not be up to mischief gt",1,"Positif"
"770","i like when i get to work from home so i can make casual blueberry muffins in the middle of the day",2,"Positif"
"771","planning for the new year natural gas is an affordable way to heat your home and water we work with energy trust ",3,"Positif"
"772","finally home and relaxing went to the store after work bc i forgot some stuff from friday then went back to the of ",1,"Positif"
"773","they would never let folks work from home either for a completely web based company the only thing that pleases ",2,"Positif"
