"","text","score"
"418","i had to drive home from work in hella fog and i was super anxious about it and my boss texted me to make sure i ma ",1
"419","how should marketers update how they communicate with their audiences reveals what tactics today s ",0
"420","it took a bit of adjusting to working from home because i am an outgoing and social person   said andrew klein marketing dire ",-1
"421","of bitpay s employees feel more productive working from home as a result we ve implemented a virtual plan for our employe ",1
"422","interesting ruling from unfair dismissal compensation for worker not allowed to work from home during pandemic  ",2
"423","obviously i can t work from home and i ve been fortunate to be able to work safely throughout but worklo ",4
"424","i hadn t heard that but it makes sense   one of the biggest casualties of everyone working from h ",0
"425","or living only a minute walk from the theater where hamilton is playing and stopping by on your way ",0
"426","crying in the bathroom at work hits real different when you work from home",2
"427","i wish i had a work from home job   ",1
"428","he has acquired yet another box i have brought home from work for him",1
"429","i asked jacin to pick up something s for dinner on his way home from work he said we need to order go out to celeb ",1
"430","great work from amp the whole team in the first of straight home games",2
"431","work from home",1
"432","love how every tuesday i get an outlook reminder i ve blocked out wednesday to work from home",2
"433","if we don t do something dramatic for our children we re going to lose a generation   former education secretary lord blunkett ",-1
"434","shout out to and for absolutely killing it on this reveal event stream y all are doing gre ",-1
"435","i just really wanna take my shit to my next personal level and it s gonna take a lot of grinding and a lot of pract ",-1
"436","a recent survey of bitpay s remote employees revealed prefer to work from home versus in the office therefore bitpay is p ",2
"437","bahahaha it s a running joke that when i very rarely like a whole times this entire year work from home that my ",1
"438","ive been walking to and from work but its so close to home it like barely qualifies as exercise gjdjfg ive been slacking so bad",1
"439","i really hope i can work from home tomorrow     ",1
"440","oncall for icu over the weekend covid social inequality full of people from ethnic minorities who can t work from hom ",0
"441","i read the decision it does not seem to me that this case w ",0
"442","pls pray tamagotchi inosuke isn t d d when i get home from work today",1
"443","yeah some of us are loving this work from home forever stuff offices are crowded an ",1
"444","i can t understand why any organisation would be compelling office staff to come into the office when they can work ",1
"445","  work from home customer care representatives needed   laptop provided",1
"446","it s why i think the gov should perhaps have said if we can end lockdown and get back to work by dd m ",1
"447","       legit and affordable online courses to prepare you to work from home  ",2
"448","are you looking for ways to work from home how to make money online how to manage and grow your social media or you ju ",1
"449","ever just get home from work physically mentally and emotionally drained that ya just can t get out of your car s ",0
"450","home from work changed into our comfy clothes sweat shorts blah blah   currently a brisk at pm these col ",1
"451","yea it s hard to avoid i work from home so i only go out to get groceries and the ocassional junk food ",-1
"452","i remember the day thankfully i was able to walk home from work",1
"453","wife  honey please don t forget to buy bread when you re coming home from work and lest i forget your girlfriend chi ",1
"454","journeys home from work have me living life on the edge honestly   ",1
"455","nothing smacks better than that car ride home from work school when it s just yourself and you have that time to reflect and be at peace     ",3
"456","need freelance data entry operator part time work from home no target",1
"457","cassie looks so beautiful today omg and i come home from work she s all dolled up with dinner ready god dammit i lo ",3
"458","safe work travel is not shame worthy its unfortunate since everyone should be staying home away ",1
"459","i ll check for ya when i get home from work",1
"460","   train online to be a home based medical transcription editor and start making real money from home  ",0
"461","discussion regarding potential of moving all council meetings public hearings spcs etc to electronic participati ",0
"462","the only thing i like about quarantine is being able to work from home on zoom cause i teach kids it s so much better",3
"463","just talked to kelly high as a kite taking her for another mri at least she s feeling no pain right now i ve ",0
"464","work from home if at all possible only essential travel everyone in the ",1
"465","these major companies have announced employees can work remotely long term",1
"466","im home from work now hope you re all having a good day night i ll work on videos but post tomorrow",3
"467","i m waiting for kass to see this when she gets home from work",1
"468","i m disgusted no bill proposing that the execution of unarmed black folk be punishable by deadly force but protes ",-3
"469","thank you for honoring your commitment to vaccinate fcps so they can work safely from home",5
"470","but that was the example they were set isn t it stay home unless you fancy a trip to ",1
"471","days post move leaving me to have to figure out how to work from home without internet how is this acceptable cc",1
"472","i love it when it s snowing on my way home from work not   ",2
"473","back home from work and she s flat out next to me it s been a long one today good to be home",2
"474","claims adjuster workers compensation remote work from home insurance placement solutions",1
"475","when you and ur roommate r watching bachelor from work and home",1
"476","from home to work in the sun in the hail in a park on a trail after dark from here to there now i ride my bike anyw ",1
"477","just got home from work will get to things soon",1
"478","i wish that were the case i m still recovering from covid it s been a month since i first had symptoms  ",-1
"479","yep sombody cut a chunk of my hair off on my way home from work once",1
"480","mr president i m writing due to s decision to make internet more across t ",0
"481","i m gonna work and watch naruto from the beginning when i get home so i don t focus on my body hurting   ",0
"482","can confirm this my kids have been in person this whole time everyone wears masks and there hasn t been any trans ",0
"483","online school isnt like working from home it s more like living at work",3
"484","finally home from work can t wait to watch some egg",1
"485","driving home from work and witnessing sunsets like today is a blessing",3
"486","work would rather have you spin out on the highway to  prove how dedicated you are  than work from home after a snow storm",3
"487","helpful article from the law society in my email inbox today on working from home with children apparently you ha ",1
"488","i can t work from home  hundreds of thousands of working class britons can t",1
"489","wend consulting is a vp of business development to control amp oversee all business operations amp ventures rel ",0
"490","a new study by predicts a growth in adoption",0
"491"," ",0
"492","says the guy who is choosing to work from home if it s not safe for you to go back to work it s n ",3
"493","that s great opposite for me substituted an hour s walk to from work with wfh home schooling amp terr ",2
"494","sent home from work for having a cough booo",1
"495","the fucking irony this just shuffled on my ride home from work haha",-1
"496","me when i get home from work usually about hrs since my last real meal and or solid food",2
"497","anyone else despise pleeaaaase stop with the constant upgrades so our employers can do surve ",-1
"498","the other road i take home was backed up so it would be my fucking luck that i would hydroplane right in front of m ",1
"499","as someone with a learing disablity i find doing work from home super hard my tutor complained i m not h ",0
"500","oh yeah going to crank up the amp when my wife gets home and hit her with some stones jumpin jack ",0
"501","when you come home from work and your neighbor is clearing the inches of snow from your driveway with his wheeler gt gt gt gt gt gt gt",1
"502","i went to work from am am to go home for a nap to come back to work from pm pm    i is tired",1
"503","a funny thing my kids love school from home with me and my wife teaching them even if it is murdering my work lif ",1
"504","came home from work sat on the couch and instantly started dozing off   ",2
"505","shut the borders in feb don t miss cobra meetings don t tell everyone to shake hands don t tell everyone masks do ",-2
"506","i work from home so i won t care about it lol is it painful",1
"507","banking industry leaders are sounding the alarm on working from home saying it s fraying and not sustainable  ",0
"508","everyday when i get home from work school",1
"509","good morning can we seriously talk about how freaking hard it is to do everything from home work school blah blah blah  ",-3
"510","got rear ended on my way home from work how s yalls day going",1
"511","according to recent numbers approximately million u s employees now work from home so how do you create the ",1
"512","i work in the bakery in a midwestern pa grocery chain amp i almost got fucking fired for taking some bagels home that we ",0
"513","supposed to be in a national lockdown but boris says if you can t work from home go to work that s r ",2
"514","mate im working from home dam lmaoooo my mental health is gonna spiral so bad i know dtla is dangerous rn but f ",-2
"515","i m sure everyone in d c is positively giddy over the option to work from home today what a rare treat",1
"516","cambridge road from potomac drive to cambridge road will close for about days beginning wednesday while cont ",0
"517","standard life assurance part of the phoenix group have outdone themselves by introducing the office in a box se ",2
"518","as we still work from home we d like to use one of our interns work space as inspiration because staying organize ",4
"519","work from home   how it started how its going",1
"520","find out more on how standard life assurance overcame the challenge of moving staff to work from home using ",2
"521","the future of the legal work is from home i find it very cool",2
"522","i ll not be home from work till pm uk time",1
"523","people so fuckin inconsiderate when you work from home",0
"524","lots of stimulus material in this article for for  ",0
"525","standard life assurance part of the phoenix group use ud pockets as a workplace recovery solution enabling ",2
"526","hahaha yeah of course people who have places of work need to go      but people who can comfortably work fro ",3
"527","i have i went on holiday twice last year i work from home so i understand what it s lik ",1
"528","just got home from work how s your afternoon",1
"529","year old on minimum wage eh   they d have to work for hours years to pay for th ",1
"530","i got almost hit by a truck and a semi today on my way home from work if that isn t an indicator of the day",1
"531","first thing i do when i get home from work is get out them damn uniform clothes then take me a hot bath roll me  ",1
"532","nah i want a color change i ll ask about it later when i m home from work",1
"533","if you plan on doing anything productive when you get home from work please avoid the couch",2
"534","to clarify not talking about a full service station i mean like i don t want to even drive to a gas station and i ",1
"535","why does every work from home company not train their employees then throw them on phone calls i ve seen like di ",2
"536","when you get home from work and there s a nice piece of the bleezy left over",2
"537","work from home for wayfair   inside sales agents computer provided",1
"538","she literally says  if i was in england i could be doing workouts for people outside             so she could work from ",1
"539","first night checked the internet site of the theatre here after work went in days later on ",1
"540","just got home from work take some time for you put your feet up crack a cold one and relax to the soothing sounds of e ",-1
"541","while working remotely it s also important to maintain a work life balance   these organization and wellness tips fo ",2
"542","my neighbor decided right now is an excellent time to cut down a tree in their side yard right as i am about to lea ",3
"543","no i don t mean that at all i m referring to the people who do make their income from instagram who are s ",0
"544","listen mate its not my fault there s a global pandemic worldwide i do ",-1
"545","i appreciate it i come home from work and immediately start looking for content",2
"546","hands up if you re doing more homeschooling work from home than your kids  dad and they could do more",1
"547","in some hospital systems around minnesota some employees who worked from home have been vaccinated if their work i ",2
"548","doing more work on becoming a td from my own home trying to get my stream to run smoothly than i did in the entire ",2
"549","package thieves and creeps must be out their damn mind stalking my apartment i work from home i m always home  ",-1
"550","crazy that as soon as i get home from work i m immediately drunk and high and asleep",-1
"551","it s weird because i m working from home and only moving next door so i m doing a ton of work in a very ",0
"552","working from home is great but my kids truly don t give a shit that i be a work",1
"553","how the hell did i have a bad day at work when i work from home i can literally close my laptop",0
"554","breaking the chicago teachers union has told its members to work from home tomorrow and prepare for a strike thurs ",-1
"555","i work from home i was really hoping for by april",1
"556","toucan after coming back home from work da fuck",0
"557","working from home amp looking after a toddler is tough feeling like i can never give addie my full attention amp worry ",1
"558","after i come home from michaels ima work on my ace sketch",1
"559","yep some good stats today showing that the impact of the virus is heavier on lower p ",0
"560","hey fedex why are your drivers faking signatures on our packages i gave instructions to have this p ",0
"561","my employer was ahead of the gov and could see that the pandemic was growing in early feb  ",0
"562","i had a lot of free time this year and spent it editing lots of unreleased work from the past as i plan for my futu ",2
"563","listen i never tweet but i have to respond i work at a nursing home and i see residents die everyday f ",0
"564","its almost pm amp my gf in adorable home hasnt come back from work    where r u mikasa",2
"565","what like bouncers waitresses personal trainers didn t really thin ",1
"566","we are living in a fucking pandemic we are not working from home we were forced to bring our work home with little to ",0
"567","i ve taken two naps since got home from work and it has messed me up just living out the day half asleep",0
"568","surprisingly resilient they miss friends and sports but are managing virtual learning my one with ad ",0
"569","i came home and found a package from when i got home from work i love this mug so much   love yo ",3
"570","when you re working hrs a week like i am tuesday nights normally feel ",1
"571","quit catering to the neighborhoods not following guidelines to begin with and now go put more in sit ",0
"572","not just banking the gloom period is especially depressing sapping productivity get your ass outside and walk a spell    ",-2
"573","omd can you smell that mom ran over a skunk already dead on her way home from work and now the car smells gl ",-2
"574","man i just want someone or something to be happy to see me come home from work lol",2
"575","i was listening to them on my way home from work i had to turn it off bulldog ",1
"576","soon as he get home from work he be on me like white on rice    ",2
"577","of execs agree that the pandemic and work from home mandates have increased the need for employees to have a working k ",1
"578","how did you spend the extra time you may have had today not being stuck at work or stuck in a lengthy commute",-2
"579","i hate pants covid world allows me to wear them all the time since i work from home go on walks exer ",0
"580","meanwhile community spread above all in workplaces is the primary source of spread what ab ",0
"581","me driving home from work just vibin living my best life   my brain   and now we will review a few of your most ",2
"582","im home from work and i present clingy doggo",1
"583","ok but credit scores are complete scams   why should someone s credit score prevent someone from securing a home ",-1
"584","apparently nurses wear compression socks for their shifts and honestly i think teachers should too been coming hom ",0
"585","my brother came home from work with heavy cream and said  you know what to do  ",1
"586","imagine if we were all lucky enough to work from home",3
"587","i think you ll find that most as you put it can ",0
"588","hey i came home from work they are doing some construction look what i got marked in front of my house is this lucky or an om ",2
"589","since i finally got into this century and bought the k tv i get the cap emails regularly i work ",1
"590","some fantastic examples of home learning from our talented pupils in c working on balance amp control      and b consid ",2
"591","we all have covid right now despite being virtual husband likely caught it from work but my girl ",2
"592","at work triaging one of my patients who happens to be a doctor he then offers me a job to work with him a job tha ",2
"593","it took me hours to get home from work from dc to germantown then i had to walk two miles in the snow when the bu ",1
"594","great spot from as well on pepe s work to win leno s long kicks seven headers won success rate it w ",6
"595","finally home from work time to workout then get ready for my therapy session    i m so excited to talk to my therapist",3
"596","my work from home job is starting to grow on me",1
"597","these women aren t working from home they re living from work",1
"598","hey i came home from work they are doing some construction look what i got marked in front of my house is this luck ",2
"599","working from home   me holy fuck i m stressed out  me smokes weed and chills          two hours passes without an ",-1
"600","businesses and public sector organisations are joining a government scheme to test workers without symptoms who canno ",-1
"601","my work from home view i keep wondering what we would have done in it without linux who s working late today my work ",2
"602","i have been exposed to three covid positive co workers since december but was not allowed to work from home",2
"603","if you work from home i hope you re in meetings from am to pm",1
"604","the reason you get home from work and cant bring yourself to do anything you need to do is because you are exhauste ",1
"605","i m so much happier and more productive working from home anyone else feel like office work just isn t right for them",5
"606","i can t believe all this is even ruining one of the real joys of work from home which is no meetings",0
"607","this woman is one of the biggest ole in the whole matter  if you need a work from home read the thre ",1
"608","are any of these positions work from home    do temporary workers receive any health care benefits",2
"609","came home from work and my daughter just got done making herself mac n cheese   ",1
"610","thanks cheeky shot on way home from work whilst waiting for green  man ",1
"611","i went in last monday i probably get more done at home and work longer hours i do like the fact ",2
"612","rt privacy teams helped navigate the pivot to work from home",2
"613","bro fuck this is a low blow       me driving home from work let s make some dubstep me walking in the door    bed   ",-1
"614","i come home from work thinking of shit i forgot to do while at work when does this shittt end",1
"615","failing to reach an agreement with chicago public schools over reopening conditions this week the chicago teachers ",-1
"616","working from home during a pandemic has been a particularly different experience for some as a lot of people are w ",0
"617","wait a damn minute newsom removed essential workers from the vax priority list i don t wanna be bumped ahead f ",-2
"618","we think there are some work from home essentials that make working remotely easier    the team has c ",2
"619","man i am not looking forward to actually having to go to an office to work i know it s hopefully a few months aw ",1
"620","utter tossers bet the bosses will just work from home",1
"621","not gonna lie this thought has crept into my mind knowing that i can work from anywhere in my current job i like ",0
"622","dear pals today i m helping my mum work from home    and i think you will all agree i m doing a really good job     paw wa ",3
"623","while working remotely it s also important to maintain a work life balance   these organization and wellness tips ",2
"624","we think there are some work from home essentials that make working remotely easier    the team ha ",2
"625","i went thru us customs to come home from a work trip in vancouver agents asked me if i d been to china re ",1
"626","a member of my household has to go to work outside the house what precautions are needed   you should take extra pr ",1
"627","omg my kids are at school i can work from home in peace what s on netflix",2
"628","same as you guys pretty much lucky to be in work can t work from home but really missing some spa ",4
"629","can someone tell me how to wake up early when i get home from work at midnight and sleep at am",1
"630","gta real estate   where you can flip a home in months and make k   why even work the message from ottawa is clear  ",2
"631","because presumably these were matched control group meaning they were under the same restrict ",-1
"632","not doing well  left work early with a bad migraine attack which i never do but this one is bad if i stayed the ",-1
"633","lmao i have to drive home from work so i promise to be back with all replies i owe soon d",2
"634","i hope it all works out for ya im good home from work and my hs vinyl arrived and it s looks so beau ",3
"635","those most likely to be employed in essential work those who were needed for critical functions throughout the pan ",-1
"636","let s not normalize the idea that because people are working from home kids are in school that snow days etc are un ",0
"637","required to work from home even for a day since apr claim a year s tax relief rebate worth or take ",3
"638","surely not i gather from twitter that we are all sitting at home on our arses using the unions to prevent us havin ",0
"639","they can work from home",1
"640","australian government forced this by law if you can work from home you must work from home",2
"641","can t we also at least work from home for one day bethunana",1
"642","finally home from work selenaaaaaaa",1
"643","watching the night stalker on netflix and wondering where these serial killers get the energy to do it when i get home ",0
"644","we ve had problems with our broadband for months but within the last weeks our internet drops out for ",-1
"645","working on manifesting a life that allows me to work from home create my own schedule raise my son and flex a b ",1
"646","hey everyone i just got home from work how are y all doing   ",1
"647","there s people who literally have not stopped working since the pandemic started maybe if they were sick they stopped going ",-1
"648","i love living in but with evolving technologies and work from home requirements it s almost geog ",2
"649","cw food  my mum brought garlic bread home from work but it was cheesy  ",0
"650","good thing today receiving and sending some end january happy new year wishes better late than never also i ",3
"651","late day getting home from work and therapy followed by snow blowing is it crew change day yet   ",1
"652","it s also indisputable that at home virtual instruction sucks ass compared to in school  ",-1
"653"," i remember biking home from work months ago and hearing people cheering and clanging their pots and pans that meant a ",1
"654","we should be giving vaccine starting and working up as well as from top to bottom ",2
"655","atomise humans by getting people to work from home until deep state replace humans with robots slightly smiling fa ",2
"656","so very grateful to be a symptomatic with my positive covid test on the th jan but more grateful for the borrowi ",3
"657","money magazine has ranked reston as the top place to live in the united states if you work from home",2
"658","imagine going home late from work and batman comes and breaks both your legs",0
"659","couldn t agree more tiphannie i work at the hospital in the uk and its grim right now my son is home f ",1
"660","flirting a bit with the cute girl at work but it s a work from home gig so she lives in fookin  iowa     ",3
"661","everyone in the world i don t wanna go into lockdown  us nz folks let s go into lockdown i wanna go back in an ",0
"662","just got home from a long day at work tired af",0
"663","this doesn t really hold up i don t think more people shopping from home probably increases use of ",0
"664","lots of new work from contributor   in",1
"665","work from home until the end of the week lesgo",1
"666","i can always count on my mom for a good vent session when she drives home from work",1
"667","only january and i already took days leave days ccl day mc  see the benefits of being able to work from home and not",2
"668","what the actual fuc don t go out then eat out too help out stay at home but don t stay at h ",0
"669","the ace world because life is meant to be aced some anecdotes again",0
"670","you are darn right i sang along with wonderwall you just played on while driving home ",1
"671","i got all the way home from work walk tube train to find a large bulldog clip attached to the back of ",1
"672","can you work from home",1
"673","found out today that i am a wuss and my cats are useless pets came home from work and a bird got in the house  ",0
"674","we working from home so isolation won t work now they know what date he wanted too and my husban ",1
"675","actually heading home from work a lil early because the snow makes me anxious   approach for sessions dick rates a ",-1
"676","im honestly losing my mind in lockdown just everyday wake up work from home sleep everything is blurring into o ",-1
"677","your job hrs commute from home to office  my job sec to open phone and login to work",1
"678","i miss when we used gather around at the office and wish for snow days aka work from home the next day now we re j ",0
"679","and that we should pay for the opportunity to work from home",1
"680","i guess i m a little lucky in some respect as i work from home and have done prior to covid but i h ",3
"681","i ve never been one to sit still and work from home has eliminated walking between meetings so i adopted a treadmill desk  ",1
"682","somehow in the middle of a pandemic toptica managed to ship me the first laser for my new experiment really excited to ",1
"683","when doing taxes are we allowed to claim all household bills back as we all work from home now",1
"684","the way i m about to drive mph home from work right now",2
"685","on my way home from work the past two days i have seen an armadillo in the same spot just doing armadillo stuff i feel very blessed",1
"686","i can never have a peaceful drive home from work always something stupid happening on reisterstown rd or construction around my job   ",1
"687","absolutely not i don t know about you but i m much more likely to feel for those who work from home",1
"688","lord i just wanna work from home       ",1
"689","i m sure i ll be in the minority here but i think it would be a good idea to vaccinate all the mps as a priority  ",1
"690","if you work at a large company and have made enemies with coworkers u thought u were cool with since working from h ",1
"691","i once got a dig from someone when i complained about taking public transport to work amid the nose  ",0
"692","what s suspicious about wanting to spend more time with your family during a lockdown where he can work from home",0
"693","looking for activities to do after work bingo is the event for you participate in monthly bingo nights from the c ",1
"694","well pick up my shift it s work from home",2
"695","working from home became necessary for many employees during the especially in a check out ",0
"696","msft      shares surge to new high on work from home revenue boost",2
"697","from the outside and with most office staff in a position to work from home and less office space need ",1
"698","martyn and his amazing ability to see alternative timelines up unt ",1
"699","i m a teaching assistant ks amp once got home from work felt something quite large in my hair  ",1
"700","start my nd job tomorrow   ima be tired asf but it s a work from home",0
"701","so we re just going to work from home forever",1
"702","why is it that we are all supposed to be working from home you appear reporting many evenings outside we ",0
"703","errrrr grandmother here working from homer full time and home school while son and ex ",0
"704","peak work from home procrastination those blinds aren t going to dust themselves",-1
"705","a couple of the tips outlined in this article by move work to when yo ",1
"706","sana all work from home hahaha",1
"707","but what about the supermarket workers who can t work from home and have to put up with people refusing t ",0
"708","when i get home from work i m going to give this one a read it should be great",2
"709","i don t even think the problem is people choosing to fly out to dubai and get away anymore the real problem is tha ",-2
"710","excited to start work on our new local project with historic images from our home village  ",2
"711","thanks pat grateful i m retired so i can care for her during day hubby takes over when he gets home from ",1
"712","once i get home from work",1
"713","i enjoy words with friends project makeover is fun we are getting freezing rain and snow here in u ",1
"714","coming home from work to a bunch of packages is the best feeling",2
"715","may need to work from home tomorrow   oh right",2
"716","im not even home from work yet and im already feral wiksyxhebrhdj",1
"717","not this big ass crash at the intersection when i m almost home from work",0
"718","once i get home from work i will supply more wedge pics",0
"719","i got appointment to get my car fully checked out tomorrow at am just gotta get home safe tonight from work   ",2
"720","every school does what is best for their families and their children once everyone ",1
"721","the voice to text thing was somehow left on and transcribed me in a text message pretty perfectly captures my work ",3
"722","i work from home i m an essential lover   ",2
"723","hi guys do you work from home i sell tables suitable for your work station  the office table is ft by ft by in with ",3
"724","the top work from home challenges  the most surprising statistic to you may be that on average people who work from home a ",3
"725","i have to go into uni tomorrow and it s so fucking dumb like scotland is literally in lockdown and you want me to c ",-1
"726","on my off days i can get called at any time of the day since our lab works mfs got me up at am in bed tryin ",1
"727","first time coming home from work and not going straight to sleep    i m fighting sleep too",1
"728","satya nadella is reported to have aptly called current state of microsoft s market as second phase of digital tran ",0
"729","when you get home from work and your cat wants to hold your hand                           ",1
"730","asked to work from home the next two days i may only be miles from work but that can be a harrowin ",2
"731","recently it s am because i do school and work from home so i don t need to leave my ",1
"732","announcing listen to this audio plays   over the next few months we ll be releasing four plays for you to enjoy from ho ",1
"733","i would do anything if i could set foot into a building or office this work from home crap is getting old i need ",0
"734","work from home data entry operator and typists vacancies for students and fresher",2
"735","right how is so far behin ",1
"736","the way gas prices are climbing whew i work from home so y all be easy",2
"737","this is shocking not following govt s own advice to work from home inevitable results of mass infection https  ",-2
"738","we all were not allowed to do ho i immediately asked for it when the government decreed i tried for ",0
"739","got my new tires put on their rims and installed them on my truck just fyi don t allow your spare tire to blowout ",0
"740","work from home attire",1
"741","too bad more couldn t work from home",0
"742","your job work from home my job no work from home tambay   ",2
"743","when i got home from work it was off idky i immediately thought someone died lol the blind is closed now too",-1
"744","this is what my work desk crafting desk looks like by day i m a high school english teacher teachi ",2
"745","said exactly same thing would never have seen triple figures people would have been c ",0
"746","was driving home from work listening to kraftwerk and singing about a weird obsession with calculators when i cau ",1
"747","i never get tired until i have to drive home from work amp sit in all the traffic every single day",0
"748","me everyday now that i work from home",1
"749","my work schedules meetings between tomorrow and monday  my work we ll be flexible if people want to work from ",4
"750","having a home to work from",1
"751","i lived in vancouver for a bit  the levels of domestic violence were like no ",1
"752","not sure if my makeup is going to survive the transition from work to home for my zoom author program with ",1
"753","no one is going back to offices or work places for the next plus years trust me on that  ",2
"754","i told my second gentleman to stop at the grocery store and pick up a rotisserie chicken on his way home from work  ",1
"755","for many people was a rough year but is well it s here while juggling work home and everything in betw ",1
"756","capitalism has me fearing i ll get fired for my internet consistently going out today while we work from home during the ",2
"757","my mom really looked at me and asked if i just woke up from sleeping i just got back home from work mother",1
"758","i swear my schedule so busy working hours at my job real estate and taxes pop up shops friends family and trying ",0
"759","just got home from work am i to late for psd   ",1
"760","i m trying to keep my new work from home while your multi million dollar corp has nothing but outages this ",1
"761","yup going into year of my home looking by fall hopefully to put back on market  ",-1
"762","oh dear i was so happy that i don t have to wake up so early due to work from home",2
"763","something for your commute home or your move from one end of the couch to the other if you work from home the l ",1
