"","klasifikasi","text","score"
"372","Positif","home from work and had this video stuck in my brain for hours",0
"373","Positif","for the record i am grateful to have a job let alone one that allows me to work from home i just miss going outsi ",1
"374","Positif","i worked right down the hallway from sekou at turner until we all left to work from home last march  ",3
"375","Positif","rd week work from home    university brought back freshman students for winter qtr   ",1
"376","Positif","oh and the job is work from home answering emails that s literally all i would do",1
"377","Positif","come on bro i just at home from work and it s my rest day you couldnt come at me any other day of the week   ",1
"378","Positif","the shit that blows me is that no one was home it arrived a day earlier cool and i was on my way from work when ",1
"379","Positif","hitting work from today  ",1
"380","Positif","i am glad i just found out about this when i got home from work because i dont know if it wouldve been prof ",2
"381","Positif","something for your commute home or your move from one end of the couch to the other if you work from home the lates ",1
"382","Positif","work a to job that leaves you too tired to do anything when you get home and doesn t pay enough t ",1
"383","Positif","it s like a dad coming home from work completely drained and exhausted but as soon as his son says dad ",0
"384","Positif","my boss called me to congratulate me because over this past year i m the most productive employee   lockdown suits ",2
"385","Positif","please add in a additional payment or credit to help us for the cost we ve absorbed from buying technol ",0
"386","Positif","if you re wondering how bad my brain has been just know that on my way home from work today i drove past my own house",0
"387","Positif","only got home from work nowww   ",1
"388","Negatif","it s so tiring and mentally draining feeling fearful of your parents health during this pandemic i can t help but ",-3
"389","Positif","for sure that s a reason to not vaccinate the teachers yet unless otherwise prioritiz ",0
"390","Negatif","i m not ignorant to the fact that a lot of people rely on schools for daycare and that it s ridicul ",-1
"391","Positif","work from home homeschool   ",1
"392","Positif","impressed with the work local athletic directors and leadership teams have done to get our  fan less  games live st ",2
"393","Positif","this isn t as neat as i wanted it to be but i m otherwise pretty happy with the setup i ve installed at ",3
"394","Positif","they still got the capitol fenced off and i can t ride down independence to go home from work",1
"395","Positif","i work for one of the largest canadian companies in the financial sector and i don t need to spe ",1
"396","Positif","i came home from work dinner was cooked my spliff rolled my bath was set my face products and mirror were in my usual ni ",1
"397","Positif","fr even especially with living in an apartment it s just like moving really far when this lease is ove ",1
"398","Positif","my cat can be such a little shit i wanted to take like an hour nap after i got home from work and ate but she kept ",1
"399","Positif","its min from work to home and i hate life the entire time",0
"400","Positif","i think most office tenants are going back with the flexibility to work from home days per week",2
"401","Positif","the victorious work from home business will need your physical shape find out about this type of fitness approaches",2
"402","Positif","stay home one day from work my mom be roasting my ass about everything   my weight  college  the gym  how i can t c ",1
"403","Positif","it was a nightmare i legit thought i was going to die tonight my boss is nice enough to let me w ",0
"404","Positif","hey news reporters            we wanna know what s on your laptop stand reading list this winter   what board games or puzzle ",0
"405","Positif","if you work from home embrace the interruptions   use them as a reminder of who you are actually working for",0
"406","Positif","i know the left leaning work from home wonks are all really proud of themselves for supporting a minimum wage i ",3
"407","Positif"," i ve been providing free workouts on my instagram  is not reason to travel internationally  for work  du ",2
"408","Positif","yet millions and millions of people go to work every single day that dont have the privilege to work fro ",3
"409","Positif","yes my children have been going full times days a week since august in the awesome state of s ",1
"410","Positif","i have stayed home since th to this th   am thankful that there were foods and supplies coming i still have tv ",1
"411","Positif","i ve had five extra strong headache pills since i got home from work five hours ago and the pain has not abated at ",0
"412","Positif","soooo its gunna snow tomm amp i know we all work from home now but like can we get a snow day still or nahhh",2
"413","Positif","i work at trader joe s which is working with food why have i been bumped down and teachers that can ",0
"414","Positif","i didn t want to buy the truth or drink game bc i didn t think i d use it enough so he handmade the whole game and ",1
"415","Positif","i have masters degree from a us university yrs work exp months ago i was working on cutting edge tech on a dream pr ",2
"416","Negatif","i want a job closer to home bc i hate sitting in traffic after work just keeps me from seeing my daughter amp i hate ",-1
"417","Positif","this week i am working at home but from tuesday i go back to work for days a week and let s see when i can return full time to work",2
"418","Positif","not sure why it s not posted i rely on the ferry system to get to and come home from work i ha ",1
"419","Positif","home from work  time to relax  she in the other room cooking   she never has to know        onlyfans emmazing",1
"420","Positif","home monitoring is being used to help those with mild cognitive impairment stay in their homes safely amp for longer for ",1
"421","Positif","how do people work a full day and then go home to a family like you re tired from a long day you have to cook cl ",1
"422","Positif","excellent hopefully i can work from home til it s completed",2
"423","Positif","these items make great gifts for friends who love writing or who work from home or for yourself   read the full article gif ",3
"424","Positif","take the wheel as a automotive claims adjuster hr benefits work from home in fl learn more about ",2
"425","Positif","and hey times are tough for a lot of people but that s months of work in a pandemic in a job that doesn t let ",2
"426","Positif","darn omw home from work so ill be missing this one",1
"427","Negatif","since i been home from work i been dozing off a bihhh tired it s a wrap after i eat amp smoke a blunt",-2
"428","Positif","malaysia hire workers from oversea under the harshest employment rules they are made to work hrs a day they ea ",1
"429","Positif","sending thoughts of peace from indiana        don t panic i ve seen a lot of year olds beat this viru ",0
"430","Positif","i now thinking bout all the single parent households that won t be able to work from home",2
"431","Positif","some kids do follow quarantine and do school work at home away from friends others here dont care they go out on ",1
"432","Negatif","contract tracing has failed to identify the cause of over of cases clos ",-1
"433","Positif","this is a great idea especially for those having to work from home thanks lauren   ",2
"434","Positif","my most anxious time of day is the hours after getting home from work  anyone know wtf that s about",0
"435","Positif","what a nice surprise someone cleaned my driveway before i got home from work tonight thank you so much also a ni ",3
"436","Positif","desktop virtualization is trending in the work from home world but could also present network capacity challenges  ",1
"437","Positif","big night for national city   they re hearing about a tod overlay in old town amp discussing their housing element up ",0
"438","Positif","i literally played this on the way home from work",1
"439","Positif","your welcome to wait for something better tell that to the exhausted medic ",1
"440","Positif","these items make great gifts for friends who love writing or who work from home or for yourself   read the full art ",3
"441","Positif","virtual events planner work from home coordinator and other careers that a work expert predicts will be in demand this deca ",2
"442","Negatif","ponder logic  u can t travel to from a country which has lower  infections  than us care home staff go to from own homes ",-1
"443","Positif","still of young gamers who work from home   ",1
"444","Positif","lol me seeing everglow by myself days before my work went to indefinite work from home",2
"445","Positif","finally got the tracking info my dpd guy is usually here around pm it ll be waiting on me getting home from work",1
"446","Positif","first thing i do when i get home from work is get out them damn uniform clothes then take me a hot bath roll me blunts  ",1
"447","Positif","i am the queen of coming home from work and not wanting to be bothered but i just got home amp there s not a single p ",0
"448","Negatif","picture this you re in your early  s it fucking sucks outside but you re alive on your drive home f ",-2
"449","Positif","y all my bundles just arrived i wanna get sent home from work so bad",0
"450","Positif","thanks pete met gilly when i was and he came home from th ",0
"451","Positif","does anyone have some recs on a good office chair to work in from home i need something comfy     ",3
"452","Negatif","i am tired as shit just got home from work i don t even want to think about today",-1
"453","Positif","there may also be a good number of office jobs that continue at least in part as work from home",2
"454","Positif","literally rushed home from work i m so sad",0
"455","Negatif","perfume and hold me for illegal boarding is a sorry way to hold cumin because hoe from home said come here work for ",-1
"456","Positif","join dr steven macgregor today",0
"457","Positif","act fast new text amp email work from home job",2
"458","Positif","my wife and her manager work in the hr deptt of a f ",1
"459","Positif","helpful article from the law society in my email inbox today on working from home with children apparently you have to tell ",1
"460","Negatif","didn t get anything done today because i m having a bad reaction to my second covid vaccination nothing serious ",-1
"461","Positif","when you rush home from work to take a nice relaxing blistering hot shower amp someone else used up all the doggone hot water     ",3
"462","Positif","that feeling you get when you get home from work and stretch out on your bed and take your socks off it one of thee ",1
"463","Positif","speak for yourself what s for you won t go by you i have school age kids at home it s hard but on ",0
"464","Positif","courts encouraging ppl to work from home and take off an item that they ll actually be paying of the cash pric ",2
"465","Positif","our library can get microfilm for us there are a few portable readers but they re usually always checked ",1
"466","Positif","welcome to the twilight zone where students are told to stay home and all k and cluster teachers are told to w ",1
"467","Positif","now that i m home from work i can finally watch the reveal for real",1
"468","Positif","im thankful asf i can work from home",2
"469","Positif","senior required  competitive salary    we offer a substantial and achievable bonus the opportunity to wo ",3
"470","Positif","my new ritual when i get home from work is to light one of my aromatherapy candles and smoke   ",0
"471","Positif","youre quite lucky that you can afford to just go without an income coming in and stay home a ",2
"472","Positif","rip sekou  coming home from work late at night after a hour shift and watching you on nba gametime and help me c ",0
"473","Positif","i was enjoying the view of mt baker on my way home from work",2
"474","Positif","my moms work is stupid my mom cant work from home even tho she has dr notes one from my bro heart dr and one from ",1
"475","Positif","i remember as a kid i would take a metal panel my dad brought home from work ",1
"476","Positif","is awesome as always   my dasher on the other hand    didn t follow my instructions and ",1
"477","Positif","today s work from home outfit   bespoke light gray flannel three piece suit   white blue striped ralph lauren win ",2
"478","Positif","oh the co op thing lol so it s a work from home thing",1
"479","Positif","hoping for a snow day like they wouldn t make me work from home instead   ",2
"480","Positif","i got home from work and did it",1
"481","Positif","that s not even the worst lmao     man my dad would go to work at am everyday and come home at pm and i wouldn  ",0
"482","Positif","job especially the medical and care workers the gov has stepped up to support all many can work effective ",3
"483","Positif","the majority of students i teach prefer to learn from home because they don t want to get sick the majority of faculty i wo ",0
"484","Positif","microsoft shares surge to new high on work from home revenue boost",2
"485","Positif","went to work with one of my videos sitting at around views and likes get home from work to see it at over  ",3
"486","Positif","game on ps is completely buggy my dude comes home from work as soon as someone goes to sleep they ll ",0
"487","Positif","quinn says k employees were asked to work from home because of the dangers stemming from the civil unrest   absolutel ",0
"488","Positif","i really walked home from work last night hr and mins and felt super good about it so guess what i did today  ",3
"489","Positif","exactly people would be willing to commute further if they work from hom ",2
"490","Positif","i think she changed shirts from coming home from work",1
"491","Positif","i m a writer and i can t even form a functional sentence in my current work after months of being ",1
"492","Positif","did something different with my hair today and i felt cute i come home from work and my husband says  god what hap ",2
"493","Positif","come home from work and get right to work on my laptop by any means for this degree       ",3
"494","Positif","i come home from work and eat too many peanuts bc i m hungry and then my tummy hurts",0
"495","Positif","they will send you out to work your kids to school in but they work from home whilst others mix with s",2
"496","Positif","my problem is i wanna work from home forever",0
"497","Positif","we unlocked a new work from home with your partner achievement today the significant other overheard a conversatio ",3
"498","Negatif","my poor roommate had his first snow day today and got stuck coming home from work       ",-1
"499","Positif","been working from home for practically a year i am drained unmotivated uninterested and just don t care to work at all at this point",0
"500","Positif","finally i made it home from work",1
"501","Positif","working from home remember take breaks from shopping on to do some work when you are shopping begin eac ",0
"502","Positif","open po nct make a wish from home s love work it md postcard photoset smartphone deco trading card lugg ",2
"503","Positif","counting down the days till i get to work from home   ",1
"504","Negatif","yeah i have to drive a crazy busy road when workin ",-1
"505","Positif","got my first shot today i am a healthcare worker who cannot work from home so bet mn i qualify       ",2
"506","Positif","you ever come home from work and get to baked that you pull off your zip up hoodie asking for a friend",1
"507","Positif","when you have no face mask cream left at home a snapchat filter is the next best thing right nope lol     this gal ",2
"508","Positif","my coworker said she s gonna buy flowers for her wife on the way home from work and i just         ",1
"509","Positif","i work not too far from it but always forget about it until i m home and i m upset    i just wanna see some kitties         ",0
"510","Positif","working from home is starting to fall apart top bankers warn",0
"511","Positif","i want another job any work from home jobs where i can travel with a laptop i have one now but it s two deskt ",1
"512","Negatif","felt sick all day so i stayed home from work apparently allergen numbers are just crazy high though so hopefully just that",-1
"513","Positif","moved to the front of the line and told there are no vaccines available  also it is completely in ",1
"514","Positif","just got home from work and i ll be live at pm cst",1
"515","Positif","looks like i m walking home from work",2
"516","Positif","nss open preorder nct make a wish from home s love work it md postcard photoset smartphone deco trading c ",2
"517","Positif","i think in season two the updates will be bigger plus rare are having to work from home ",1
"518","Positif","the governor said they may ease restrictions in the fall i m trying to go to colorado now i want ",0
"519","Negatif","i m and on an immunosuppressant drug that s returned me from completely unable to do anything to a ",-1
"520","Positif","ok nd day of ring fit adventure my legs are s o r e thank god i work from home",2
"521","Positif","this heartbreaking but not surprising and directly affects my family key worker husband and his work colleagues ",0
"522","Positif","another safe drive home from work drive safe man i watched people die today",2
"523","Positif","it takes me so long to get home from work because of traffic and it s slowly destroying my soul       ",0
"524","Negatif","we launched a website a home for our campaign to tackle systemic racism in the charity sector and a place to host ",-1
"525","Positif","i had not that i ve been to anywhere that wasn t a supermarket smiths the fish n chip van or a pharmacy ",0
"526","Positif","ordered grubhub forgot to change the address from work to home used to option to message driver hope he gets   ",1
"527","Positif","i got home from work today and chose violence i wish all covid deniers a terrible day",0
"528","Positif","thinking about the fact that i live a ten minute walk from one of the biggest vaccination sites in sf am an ",0
"529","Positif","new suburban homes in the area built with a separate office to work from home pretty smart that price though",3
"530","Positif","nct make a wish from home s love work it md postcard photoset smartphone deco trading card luggage sticke ",2
"531","Positif","since work from home shows no sign of going away soon we could all use some supercharging tips to make the most of ",1
"532","Positif","from home s love work it",2
"533","Positif","yuta from home and work it",1
"534","Positif","the drive home from work is gonna fucking suuuuck with this snow",0
"535","Positif","the thing is if you re working from home you have to show your colleagues or your bosses that you re doing your w ",0
"536","Positif","work it from home pls",1
"537","Positif","bro i swear my plants do this if i forget to say hi to them when i come home from work",1
"538","Negatif","have you ever feel so frustrated stressed out sick annoyed mad sad tired all in between and you end up cryin ",-6
"539","Positif","there is nothing more attractive than your man coming home from work dirty in boots you cannot change my mind either   ",1
"540","Positif","work from home workers on full pay doing home improvements whilst those that lost their jobs furloughed ",1
"541","Positif","just occurred to me working from home means no snow days off from work    ",1
"542","Positif","yuta work it sungchan and from home please",1
"543","Positif","work it johnny from home yuta doyoung group",1
"544","Positif","getting home from work like",2
"545","Positif","i ve learnt the hard way not to remotely update the smart home server from work",1
"546","Positif","lol i m talking about from the company you re purchasing your home through lol i wo ",0
"547","Positif","school here s your homework me ugh at least i won t have homework when i m out  boss here s your laptop to work ",1
"548","Positif","i start my new job tomorrow and i m really already trying to figure out how to work from home because my kid hates school so much",0
"549","Positif","supreme court seeks biden doj views on work from home taxes",2
"550","Negatif","shout out to for price gouging which is illegal in maryland during a time when people are home and onli ",-1
"551","Positif","yes it is a requirement from the state until further notice since dec th     st ",0
"552","Positif","interesting ruling from unfair dismissal compensation for worker not allowed to work from home during pandemic  ",2
"553","Positif","we did indeed i started early enough that i had a few months working on it like normal but many ",2
"554","Positif","super excited to go home from work and not have running water    truly cannot wait to move",3
"555","Positif","i just got home from work and we are up i love that great to have you back bob   ",3
"556","Positif","eh i ve just come home from work must ve got hacked  ",1
"557","Negatif","i hate when mfs wanna shower when i get home from work or worse after this workout     ",-1
"558","Positif","an hour get home from work   ",1
"559","Positif","my laptop fried last night when i got off to work and my fil came home from work today with a brand new one for me ",1
"560","Positif","even with love it hasn t been easy trying to coach teach one nd grader has been so difficult fo ",1
"561","Positif","what is going on if teachers stay home and work remotely tomorrow will there be retaliatory action from ",0
"562","Positif","storming outside new mattress half day work working from home wtf we do to deserve this",1
"563","Negatif","ugh    it was a nightmare never even made it home that evening from work went off the road twic ",-1
"564","Positif","there is nothing more attractive than your man coming home from work dirty in boots you cannot change my mind eith ",1
"565","Positif","it s really scary and we re super lucky my husband and i can and do work from home and both girl ",2
"566","Positif","yea she just wanted us to stay home lil bit to avoid a full lockdown people getting it from outside a ",0
"567","Positif","to some degree remote work looks to be a part of future   survey of gt c level executives amp senior public ",1
"568","Positif","if your supervisor won t leave you alone during this new work from home scheme tell their supervisor because they ",2
"569","Positif","i want everyone to get vaccinated i work from home i ll wait until the end but lightfoot implied teachers wer ",1
"570","Positif","job of the week   scheduling administrator and customer service melbourne   flexible working from home arrangeme ",1
"571","Positif","i m lucky bc i love being alone amp i ve been able to work from home but the st mos of this school yr ",3
"572","Positif","oh i ll purposefully bring them to work when i m not working from home anymore i did not intend to bring h ",1
"573","Positif","got home from work like an hour ago haven t eaten cause well i m bad about eating  but time to clean and feed som ",3
"574","Positif","matt treacy writes for gript  matt doesn t like irish brazilians  they work in meat plants  who don t have the cash to ",2
"575","Positif","i m so addicted to this game the only think i look forward to after finishing work but as i m worki ",0
"576","Positif","it s v v hard to work from home when you have no room to work",1
"577","Positif","i don t know the exact policy this school district ",0
"578","Positif","just got home from work it was very cold today gonna make something for dinner and watch some anime",0
"579","Positif","probably both my partner was doing the same plus working from home teaching all phd students she s left now but still ",0
"580","Positif","i m ignoring the work emails that were only sent after pm they are not emergencies and one needs to draw som ",1
"581","Positif","please be kind to others who must leave their homes to travel to and from work stay home stay safe save lives",2
"582","Positif","i leave from work to find peace at home jokes on me today  ",2
"583","Positif","afternoon work from home drama king is napping on larry s blanket in the living room i closed my office door to let the old ",1
"584","Positif","amen my boys are high risk so they ve been home this year but they re also in wheelchairs i love them ",0
"585","Positif","why do the majority of people who work from home want to move here",1
"586","Positif","probably both my partner was doing the same plus working from home teaching all phd students she s left now but ",0
"587","Positif","i will say that i never in my lifetime thought i would do a minute job interview in spanish get the job get pr ",0
"588","Positif","the numbers are real firmly with the medical est amp scientific community the countries th ",0
"589","Positif","freelance data entry job online work from home",1
"590","Negatif","i hate lazy niggas at work like ilnigga i m as tired as you are i want to go home as bad as you do my stomach hur ",-2
"591","Positif","on my walk home from work this evening nice to see some enjoying a quiet pint   ",4
"592","Positif","i need mia and ftc to somehow legislate higher mb s to assist those who will be forced to work from home",1
"593","Negatif","me going home early from work because i feel terrible    want cry",-1
"594","Positif","i love time to decompress after work in the car listening to music it lets me switch from work mode to home mode",3
"595","Positif","work from home has been extended to july th",1
"596","Positif","just got home from work feels like my arms are about to fall off other than that am good     one up ",2
"597","Positif","okay nevermind not unmotivated anymore just realized i forgot my meds this morning but also  i got an interview fo ",0
"598","Positif","in an email the district tells families of pre k and cluster students to keep their children home from schools tomorrow   a ",0
"599","Positif","more than half of people whose jobs have allowed them to during want to continue doing it putting pres ",0
"600","Positif","i really wish i could find a work from home job i really just don t want to leave my house everything makes me an ",1
"601","Positif","got home from work early today so we are going live at opening top wl rewards huge team update and some h ",2
"602","Positif","great thread suspect hr will actually increase jobs because people who work two hr jobs w ",1
"603","Positif","now that i m home from work i can finally catch up on all the tweets videos and memories             ",1
"604","Positif","  i must find a way to work from home effectively or some times",2
"605","Positif","whoever is putting the ch potle ads for my timeline you win fine i ll get it on my way home from work",3
"606","Negatif","have you struggled with home schooling you re not alone      a primary school headteacher from wrote this ",-1
"607","Positif","while was virtual this year ceo of joined to discuss the company s new products and the ",0
"608","Positif","year are celebrating children s learning with displays of work from home and in school   ",1
"609","Positif","took a bomb nap after coming home from work",0
"610","Positif","work from home   build in public",1
"611","Positif","on repeat my whole ride home from work crazy you tweeted this lol",0
"612","Positif","i should be off the casamigos w my babies on my way home from work tho     ",1
"613","Positif","okay so if i get sent home from work because i m not wearing shoes i m blaming you",1
"614","Positif","proposed an additional hours of emergency paid leave to employees who cannot work from home due to the ",0
"615","Positif","been kind of productive since i canme home from work it d be a shame if i were to get the itis during this process",1
"616","Positif","odorous battlefield moghur turd diarrhea you a bottle great wall fart horse manure hemorrhoids munanimous horse e ",1
"617","Positif","it only took me nine months but i think i got this work school from home under control now  ",1
"618","Positif","i ve been home from work for less than hour and have already taken the recycling out showered put in a load of la ",1
"619","Positif","no ones ever up when i get home from work      i miss working day shifts or being home before",0
"620","Positif","everybody wanna be slim thick but don t nobody wanna put in the work i have virtual training in person training mea ",1
"621","Positif","damnit i just got home from work                                       ",1
"622","Positif","no better feeling than getting home from a long day of work amp ripping a good shotgun",3
"623","Positif","yayyy i m home from work now           ",1
"624","Positif","there are businesses who would allow for work from home but slow and u reliable internet connection makes it bad for business",0
"625","Positif","i ll get you a quote tomorrow after noon the post office will be closed by the time i get home from work tonight",1
"626","Positif","lenice been home from work for hours before she said she left the stuff at work chile i m just so confused the girl is retarted",1
"627","Positif","i just learned today that double masking was a thing and that you shouldn t wear gaiters also that for good reason ",1
"628","Positif","   s work it  postcard book k k luggage sticker photocard set k k uniform acrylic charm pc set k  ",2
"629","Positif","i luv the u s postal service i ve been home from work the past weeks twice my job has sent me paperwork i need ",1
"630","Positif","while some businesses have suggested working from home indefinitely many companies will most likely choose to purs ",0
"631","Positif","me who can work from home",1
"632","Positif","starting from july ish last year i made it a habit to work out at home gyms have been closed it just so h ",1
"633","Negatif","it s absolutely stupid how half of you didn t even and still don t have a f king clue and just lie ",-2
"634","Positif","teacher under review a miami dade public schools teacher was sent home from work this week apparently because of her po ",1
"635","Negatif","cps officials insist that in person learning is a necessary option but the teachers union wants    reopening delayed until staff ",-1
"636","Positif","new work from home achievement my cat started meowing so much on a call that it triggered my source s cat who also started ",2
"637","Positif","presently irritated to your work from home business this is the programme that ll produce more potential buyers",0
"638","Positif","her parents work from home too so that really matters",1
"639","Positif","i m hungry and can t eat until i get home from work in like hours   ",2
"640","Negatif","and you need to stop in its track the biden stepped up basis to steal my parent s home from under our ",-1
"641","Positif","i can t believe i wanted to come home from work and watch anime   who am i this isn t me",1
"642","Positif","this season was electric on tuesday s made work from home worth it",2
"643","Positif","there s still time to register for our next  return to work by volunteering from home from covid and beyond ",1
"644","Positif","what a relief si dang gets to remain at home with us but the fight is far from over as si and many immigrants amp refugees sti ",1
"645","Positif","can i still take a snow day if i work from home",1
"646","Positif","i always feel for you hoaz on rainy days like this when your boyfriends stay home cuddling with their wives more worse they ",0
"647","Positif","everyone s favorite daddy is home from work lt",2
"648","Positif","interesting irish equivalent of an employment tribunal finds a worker was constructively dismissed because she wasn t allowed ",1
"649","Positif","well home from work first day back full day went pretty well am tired amp sore still so gonna relax tonight was re ",2
"650","Negatif","shes ok very tired but it s been really awful for some and your partner it s a nightmare people don t ",-3
"651","Positif","with the nashville economy building up again and more companies coming this way and more work from home jobs i can ",1
"652","Positif","so wait i can work from home cause       ",1
"653","Positif","work from home should  continue  she said   it never start out here aunty",1
"654","Positif","work from home jobs online data entry jobs freelance data entry jobs online jobs part time jobs",1
"655","Positif","inches and still going   i m heading out to check roads for carus s drive home from work and go to the barn ",1
"656","Positif","retweet for people getting home from work",1
"657","Positif","people share their reality of workspace setups of working from home",0
"658","Positif","i came home to more dishes because i didn t finish the ones from last night a torn up dog bed dog poop smeared ac ",0
"659","Positif","know the difference between people who value you and people exploiting your value if someone won t pay you for your hard wor ",0
"660","Positif","i can t wait for the days when i get to come home from work an see how excited my kids are when i walk through the door fut ",2
"661","Negatif","i ve work for au bon pain and the shit from the bakery we either through out or took home i was alw ",-1
"662","Positif","lately i have been making dinner and then i hear my sister get home from work  but she sits in her car in the yard f ",1
"663","Positif","oh god i only work like ish and i feel like i spend my whole life at work    but also i feel l ",4
"664","Positif","how many are attending virtually doesn t that count pretty sure the order in on is work from home if you c ",2
"665","Positif","those showers after you get home from work hit different",1
"666","Positif"," how are we going to get it all in that s what she said   this just made my day driving home from work",1
"667","Negatif","funny i have the same crush i work from home too   ",-1
"668","Positif","i can t work from home tho so it s work as always for me and my asthma   ",2
"669","Positif","study bothell ranks as best city in washington to work from home",2
"670","Positif","nah i love oh every time my roommate comes home from work he gets supper excited and runs to the door to hug her      ",4
"671","Positif","have a ready backup home internet plan for a seamless work or learn from home set up  details at ",3
"672","Positif","from studio to three bedroom floor plans at lake meadows you ll be sure to find the perfect apartment to meet you ",1
"673","Positif","every day i wonder why all retail service workers are not on the top of the list for vaccinations so many i know that g ",2
"674","Positif","life is worth it for when i get home from work and go to bed and my two cats sleep next to me there s nothing quite like it",3
"675","Positif","flashback to when i was at my friends house on the first day of online school for them and i didnt know i wasnt all ",0
"676","Positif","lately i have been making dinner and then i hear my sister get home from work  but she sits in her car in the yard ",1
"677","Positif","having my dog next to me while i work from home gt gt gt gt gt gt gt gt gt gt        ",1
"678","Positif","i come home from work like  i should eat something  but like eat what and like i dont feel like cooking   ",5
"679","Positif","yesterday my bf and i were pretty hung over i had to work from home but he had the day off and this man watched b ",1
"680","Positif","my makestar albums are coming today yay but i wont be home from work for another hrs     ",2
"681","Positif","my company said you work from home anyway let s get you a heavier one",1
"682","Positif","tough choice but think the grohe red wins it    the perfect work from home accessory move over kettle",4
"683","Positif","got the work from home job and im going to be able to go to school and also move and just keep creating i fuckin lo ",1
"684","Positif","the progressive work from home commercials are so funny lol",1
"685","Positif","got home from work sat silently in the dark while eating a brownie productivity",0
"686","Positif","yessssss taste i ve been playing it when i m home from work too   ",1
"687","Positif","as far as a i ll always prefer working from home you can work on other stuff get shit down around the house an ",1
"688","Positif","thanks i m home from work now   ",1
"689","Positif","still another reason to work from home",1
"690","Negatif","thinking ab the fact that when i came home from work and just broke down that she let me cuddle her until i fell asleep before she left me",-1
"691","Positif","within minutes of getting home from work i do one of two things change into my work out clothes and go for a  ",2
"692","Positif","funny i m a county public utility worker in wastewater no work from home for us",0
"693","Positif","anyone else forget they put crystals in their bra got home from work n took mine off and just fell n hit the floor      ",0
"694","Positif","teacher under review a miami dade public schools teacher was sent home from work this week apparently because of ",1
"695","Positif","thousands to work from home permanently for top turkish conglomerate",2
"696","Positif","e hey mikasa why did you suddenly ran from school to home did you left the gas on maybe the bathroo  m  ",0
"697","Positif","so tempted to do this in my next working from home zoom staff meeting later on this week hilarious serio ",1
"698","Positif","just got home from work and i m burned out like a mofo i m about to knock out despite having like shots of espresso throughout the day",1
"699","Positif","i need another work from home job  ",1
"700","Positif","that s why since i work from home i quit wearing mine",1
"701","Positif","be entered to win a free family meal simply by telling us in the comments below what it is that you love about work ",4
"702","Positif","quick reminder that a camera being on means others including the teacher can see the students amp their living situ ",0
"703","Positif","and now we mostly work from home",1
"704","Positif","my roommates be sleep when i come home from work during the week i need somebody excited that i m home so this doggy is what i need     ",2
"705","Positif","turns out i m home from work and my boy from the lease is here and we re straight up hanging",1
"706","Positif","does anyone else call their mom on the way home from work school every day no just me",1
"707","Positif","i thinkkkkk ima pack my shit and work from home at shacoby house tomorrow   ",0
"708","Positif","i love my sister and nephew but i hate when she comes home from work",1
"709","Positif","bailey and i got to spend the whole day together while i worked from home we even surprised mama with a lunch date ",1
"710","Positif","i am lighting a candle as soon as i get home from work but praying for you your family and your father       ",1
"711","Positif","my team actually works remotely i have skin in the game for work from home nationalism",2
"712","Positif","some softness in the high rise condo market due to the pandemic work from home will get worse before it ",0
"713","Positif","i have been teaching virtually from home since march my third grade students need to see me model and ",0
"714","Positif","i know someone who works from home but occasionally has to go to he ",1
"715","Positif","crying during the work day but at least i work from home",2
"716","Positif","check this utilising just simply this approach i was fortunate to get out of each of our full time job and work fr ",2
"717","Positif","this is obvious but thank you for saying it will save some people headaches also the   standard ",0
"718","Positif","came home from work to this      dude he knows he got me a penguin my heart can t handle it",1
"719","Positif","whole time on my way home from work i m like where is the oncoming traffic this is weird something s wrong the ",0
"720","Positif","my doggo brings me his favorite toy when i get home from work amp it s my favorite part of my day      ",3
"721","Positif","well just delivered my package i won t be home from work for another seven hours any wagers as to whethe ",3
"722","Positif","when you used to try sleep before your mum gets home from work cause school told her you was acting up",1
"723","Positif","anybody else run to their room as soon as their dad get home from work or jus me",1
"724","Positif","i m not sure being a single dad in a city with no family and having a job with one week of vacation and one week of ",0
"725","Positif","my parents can t work from home and what do you mean same size",1
"726","Negatif","and if you think building new offices is daft this is why you re wrong and why we will still need them",-1
"727","Positif","reliably and securely connect your users to business critical applications   even if they re working from home wat ",1
"728","Positif","not me crying on my way home from work today lol",1
"729","Negatif","cps officials insist that in person learning is a necessary option but the teachers union wants    reopening delay ",-1
"730","Positif","just got home from work and took all my make up off right away now i feel pretty lol",3
"731","Positif","i d really like to come home from work to a downloaded game",2
"732","Positif","lmao so they feel is just so people can work from home",1
"733","Positif","i know that s what happened for the halloween stuff for ffxiv for example because it s harder to mak ",0
"734","Positif","i was home recovering from our holiday work party     ",1
"735","Positif","i didn t know how much my pain could go down until i worked from home  showering and rushing to get dressed meant i ",0
"736","Positif","free from the shackles of work academia time to go home and do more academia class",2
"737","Positif","how to apply for amazon work from home jobs",1
"738","Positif","joke s on them i work from home",0
"739","Positif","medical coding jobs from home with lexicode get remote medical coding jobs  ",0
"740","Positif","as we approach a year of lockdown here is how i have managed to successfully work from home for years    never w ",2
"741","Positif","ive been thinking about emotional skills alot lately as i watch a new emotio ",0
"742","Positif","tomorrow at the end of your work from home lunch break just before your next zoom meeting at why don t you join me a ",0
"743","Positif","really enjoyed that session with the academy well done lads great camera work from   plyome ",4
"744","Positif","the way someone ran off the road in front of me on my way home from work self fulfilling prophecy teas",1
"745","Positif","i can t work from home        my work is at anfield        but theres no body allowed in    i can t to go back to work at anfield",3
